quantity,unit,category,food_type,people_fed
44.5,plates,Cooked Meal,veg,38
79.1,pieces,Bakery,nonveg,26
41.6,kg,Cooked Meal,nonveg,106
223.7,pieces,Bakery,veg,92
4.2,boxes,Dairy,veg,44
126.0,plates,Bakery,veg,142
67.3,plates,Dairy,veg,97
206.2,pieces,Cooked Meal,veg,106
39.2,kg,Other,nonveg,98
43.4,liters,Dairy,veg,159
6.2,boxes,Bakery,veg,74
8.8,liters,Packaged Food,nonveg,22
43.7,kg,Other,nonveg,106
247.1,pieces,Packaged Food,nonveg,212
33.3,liters,Bakery,veg,61
194.2,pieces,Cooked Meal,nonveg,94
141.2,plates,Packaged Food,nonveg,241
10.5,plates,Bakery,nonveg,14
22.1,boxes,Dairy,nonveg,171
45.1,kg,Dairy,nonveg,191
214.1,pieces,Bakery,veg,109
22.1,liters,Dairy,nonveg,82
200.7,pieces,Other,nonveg,109
101.2,pieces,Dairy,nonveg,55
61.6,pieces,Other,veg,29
20.9,liters,Other,nonveg,43
67.0,pieces,Cooked Meal,nonveg,32
13.8,boxes,Produce,nonveg,75
120.1,plates,Bakery,nonveg,158
26.3,kg,Other,nonveg,58
18.5,plates,Other,nonveg,18
8.2,liters,Produce,veg,16
31.0,liters,Cooked Meal,nonveg,64
109.2,plates,Other,veg,95
8.1,boxes,Packaged Food,nonveg,89
6.1,boxes,Cooked Meal,veg,48
12.3,plates,Other,nonveg,11
33.7,liters,Packaged Food,nonveg,115
142.8,plates,Dairy,nonveg,193
125.4,plates,Other,nonveg,103
22.6,boxes,Dairy,veg,185
189.9,pieces,Bakery,nonveg,71
21.7,boxes,Produce,veg,154
8.4,kg,Dairy,veg,37
4.1,liters,Packaged Food,veg,11
41.8,kg,Packaged Food,veg,158
129.2,plates,Packaged Food,veg,196
227.3,pieces,Cooked Meal,nonveg,92
75.8,plates,Packaged Food,veg,111
218.6,pieces,Packaged Food,nonveg,229
45.4,liters,Packaged Food,veg,116
26.1,boxes,Cooked Meal,veg,189
19.6,kg,Bakery,nonveg,55
79.4,pieces,Packaged Food,nonveg,81
22.7,boxes,Cooked Meal,veg,232
38.0,kg,Bakery,veg,125
31.4,liters,Bakery,veg,63
72.4,plates,Cooked Meal,veg,82
183.7,pieces,Produce,veg,65
175.7,pieces,Bakery,veg,67
62.5,plates,Produce,nonveg,57
35.2,liters,Other,veg,84
120.5,plates,Produce,veg,117
3.0,boxes,Dairy,nonveg,24
255.6,pieces,Other,veg,131
13.6,boxes,Produce,veg,90
94.3,plates,Other,nonveg,102
10.3,boxes,Packaged Food,nonveg,102
44.2,kg,Bakery,nonveg,123
1.8,boxes,Dairy,nonveg,17
11.4,liters,Produce,nonveg,22
157.4,pieces,Dairy,veg,70
36.3,kg,Bakery,veg,87
14.0,boxes,Other,nonveg,105
11.9,kg,Cooked Meal,nonveg,26
168.3,pieces,Dairy,nonveg,70
11.2,boxes,Produce,nonveg,65
16.5,kg,Bakery,veg,51
32.8,plates,Other,veg,33
147.2,plates,Dairy,nonveg,159
111.5,pieces,Bakery,veg,42
292.4,pieces,Bakery,veg,138
193.2,pieces,Dairy,veg,97
73.1,plates,Cooked Meal,nonveg,63
289.8,pieces,Packaged Food,veg,289
25.1,kg,Cooked Meal,nonveg,72
8.3,kg,Dairy,veg,30
30.7,kg,Bakery,nonveg,81
23.1,liters,Dairy,nonveg,66
184.8,pieces,Packaged Food,veg,200
31.7,kg,Other,veg,79
8.7,liters,Bakery,veg,18
9.4,boxes,Packaged Food,nonveg,106
20.9,boxes,Other,veg,198
66.6,plates,Produce,veg,56
3.9,liters,Produce,veg,7
68.7,plates,Produce,nonveg,57
134.1,pieces,Packaged Food,nonveg,126
37.0,kg,Dairy,nonveg,133
149.9,plates,Bakery,veg,177
230.1,pieces,Other,veg,123
299.1,pieces,Packaged Food,veg,338
14.6,boxes,Packaged Food,veg,160
21.2,liters,Cooked Meal,nonveg,45
245.0,pieces,Packaged Food,nonveg,197
39.2,pieces,Produce,nonveg,10
100.4,plates,Packaged Food,veg,133
95.3,plates,Bakery,nonveg,102
6.9,boxes,Packaged Food,veg,61
1.8,boxes,Packaged Food,veg,20
107.9,plates,Other,veg,107
49.6,kg,Packaged Food,veg,177
19.8,boxes,Cooked Meal,veg,183
65.2,plates,Produce,nonveg,74
14.2,boxes,Packaged Food,veg,179
130.3,plates,Dairy,veg,180
28.1,boxes,Produce,nonveg,141
260.3,pieces,Produce,nonveg,71
55.0,plates,Packaged Food,nonveg,65
294.3,pieces,Packaged Food,veg,280
38.9,plates,Bakery,nonveg,43
12.2,boxes,Other,nonveg,87
48.3,liters,Other,nonveg,135
5.9,kg,Produce,nonveg,13
21.1,kg,Packaged Food,veg,71
188.9,pieces,Packaged Food,nonveg,164
42.8,kg,Packaged Food,nonveg,148
18.9,boxes,Produce,veg,120
225.3,pieces,Bakery,veg,86
9.2,kg,Other,nonveg,22
16.9,kg,Produce,veg,37
27.0,liters,Packaged Food,veg,84
9.6,liters,Dairy,veg,35
45.7,liters,Other,nonveg,97
32.3,liters,Bakery,nonveg,49
26.8,pieces,Packaged Food,veg,28
97.6,plates,Produce,nonveg,83
42.8,liters,Produce,nonveg,82
29.0,liters,Cooked Meal,nonveg,39
14.4,kg,Produce,nonveg,22
41.8,kg,Dairy,nonveg,180
36.8,plates,Bakery,nonveg,36
103.3,plates,Bakery,nonveg,110
16.1,kg,Bakery,veg,40
36.9,kg,Packaged Food,nonveg,129
6.8,boxes,Other,veg,57
250.0,pieces,Dairy,nonveg,114
242.2,pieces,Packaged Food,nonveg,273
38.0,kg,Packaged Food,veg,137
3.6,boxes,Other,nonveg,31
27.3,kg,Packaged Food,nonveg,73
247.6,pieces,Other,nonveg,120
24.1,kg,Produce,veg,38
98.9,plates,Produce,veg,80
19.8,boxes,Other,nonveg,150
39.3,pieces,Cooked Meal,nonveg,19
61.4,plates,Bakery,veg,59
90.2,plates,Other,nonveg,101
33.1,liters,Other,nonveg,82
11.6,kg,Produce,nonveg,18
5.9,liters,Packaged Food,nonveg,15
122.5,pieces,Other,veg,53
5.5,kg,Bakery,nonveg,16
12.9,kg,Cooked Meal,nonveg,35
14.9,plates,Bakery,veg,18
38.9,liters,Bakery,nonveg,66
43.1,kg,Dairy,nonveg,165
33.4,liters,Produce,veg,70
18.6,liters,Cooked Meal,veg,42
3.6,liters,Cooked Meal,nonveg,6
22.6,boxes,Other,veg,144
70.5,plates,Dairy,veg,94
110.5,plates,Bakery,veg,152
2.8,boxes,Produce,veg,18
20.9,boxes,Packaged Food,nonveg,170
30.8,kg,Cooked Meal,nonveg,72
31.6,liters,Cooked Meal,nonveg,54
70.8,plates,Packaged Food,nonveg,88
24.0,boxes,Dairy,veg,244
23.1,liters,Dairy,nonveg,95
25.0,boxes,Bakery,nonveg,194
20.3,boxes,Produce,nonveg,146
4.3,liters,Produce,nonveg,8
169.1,pieces,Cooked Meal,veg,81
102.2,plates,Dairy,nonveg,97
30.4,kg,Packaged Food,nonveg,111
8.6,kg,Produce,veg,13
21.7,plates,Produce,nonveg,20
122.0,plates,Produce,veg,144
93.3,plates,Dairy,veg,89
58.2,pieces,Other,veg,28
58.5,pieces,Produce,veg,16
15.1,plates,Bakery,nonveg,16
59.5,plates,Cooked Meal,veg,40
114.2,pieces,Packaged Food,veg,110
133.1,plates,Dairy,veg,138
34.0,liters,Bakery,veg,66
65.1,plates,Packaged Food,nonveg,106
55.1,plates,Bakery,veg,75
2.3,boxes,Dairy,nonveg,21
6.1,plates,Packaged Food,veg,9
101.8,pieces,Bakery,nonveg,40
6.1,boxes,Cooked Meal,nonveg,39
15.5,plates,Dairy,nonveg,21
1.9,kg,Other,nonveg,5
21.6,boxes,Dairy,nonveg,159
124.5,pieces,Packaged Food,veg,133
3.6,boxes,Dairy,nonveg,29
29.9,liters,Cooked Meal,nonveg,53
103.3,pieces,Produce,veg,30
27.0,kg,Bakery,veg,87
6.0,liters,Produce,veg,14
30.5,liters,Produce,veg,62
22.9,boxes,Bakery,nonveg,174
26.1,boxes,Dairy,nonveg,206
19.3,boxes,Cooked Meal,nonveg,135
56.0,plates,Produce,veg,63
41.8,kg,Cooked Meal,nonveg,102
23.7,kg,Cooked Meal,nonveg,44
10.3,boxes,Cooked Meal,veg,77
143.9,plates,Packaged Food,veg,171
2.9,kg,Produce,veg,6
16.2,boxes,Other,nonveg,109
23.5,boxes,Produce,nonveg,140
119.4,plates,Other,veg,116
46.2,plates,Cooked Meal,nonveg,41
53.3,plates,Other,veg,50
43.0,pieces,Produce,nonveg,11
28.4,kg,Other,nonveg,61
98.7,plates,Bakery,veg,108
7.6,plates,Packaged Food,nonveg,9
7.6,boxes,Produce,veg,68
15.5,liters,Bakery,veg,32
101.0,plates,Dairy,veg,113
8.6,liters,Dairy,nonveg,34
3.1,liters,Dairy,nonveg,13
30.9,liters,Produce,nonveg,57
49.9,plates,Bakery,veg,47
34.2,liters,Packaged Food,nonveg,83
29.0,boxes,Produce,nonveg,176
131.6,plates,Bakery,veg,178
108.2,plates,Produce,veg,113
5.1,kg,Dairy,nonveg,20
5.5,liters,Dairy,nonveg,22
28.0,boxes,Bakery,nonveg,231
49.7,liters,Produce,nonveg,97
16.6,liters,Produce,veg,38
2.9,liters,Produce,veg,6
23.0,liters,Packaged Food,nonveg,67
27.9,liters,Produce,veg,56
21.1,plates,Other,nonveg,19
32.3,liters,Cooked Meal,nonveg,72
4.2,boxes,Dairy,veg,43
109.2,plates,Cooked Meal,veg,99
18.8,boxes,Produce,veg,133
4.3,kg,Other,nonveg,11
61.6,plates,Dairy,veg,67
110.3,pieces,Produce,veg,34
221.2,pieces,Cooked Meal,veg,95
18.1,pieces,Other,veg,8
250.0,pieces,Dairy,veg,108
4.1,liters,Packaged Food,veg,8
10.9,kg,Packaged Food,nonveg,37
296.8,pieces,Produce,nonveg,62
2.1,boxes,Dairy,nonveg,16
41.7,pieces,Cooked Meal,nonveg,18
22.6,boxes,Produce,nonveg,159
11.7,boxes,Bakery,nonveg,100
219.5,pieces,Dairy,veg,125
51.6,plates,Bakery,nonveg,61
95.4,pieces,Cooked Meal,nonveg,39
14.0,boxes,Other,nonveg,95
86.0,pieces,Other,nonveg,51
15.9,boxes,Cooked Meal,nonveg,113
8.0,liters,Other,veg,17
12.6,liters,Cooked Meal,veg,24
117.9,pieces,Other,nonveg,46
11.8,boxes,Other,nonveg,81
81.8,plates,Cooked Meal,veg,70
37.0,kg,Bakery,veg,123
137.5,plates,Packaged Food,nonveg,219
29.9,boxes,Other,veg,273
4.6,boxes,Produce,veg,35
24.5,boxes,Other,veg,175
167.2,pieces,Produce,veg,49
25.9,liters,Bakery,nonveg,52
12.6,liters,Cooked Meal,veg,25
242.1,pieces,Dairy,nonveg,112
4.2,liters,Dairy,veg,14
116.5,plates,Packaged Food,nonveg,179
48.6,kg,Dairy,veg,178
23.6,plates,Other,nonveg,19
116.3,plates,Dairy,veg,166
15.9,kg,Cooked Meal,veg,44
107.1,pieces,Bakery,veg,53
192.3,pieces,Cooked Meal,veg,87
189.4,pieces,Dairy,veg,91
9.4,liters,Other,veg,23
127.2,plates,Dairy,nonveg,121
47.5,kg,Cooked Meal,veg,108
231.3,pieces,Dairy,veg,98
98.1,plates,Packaged Food,nonveg,147
24.3,boxes,Produce,veg,163
22.5,kg,Cooked Meal,veg,51
10.9,boxes,Packaged Food,veg,150
43.6,pieces,Produce,nonveg,14
51.3,plates,Produce,veg,47
3.5,liters,Bakery,veg,7
41.0,plates,Packaged Food,nonveg,59
32.5,plates,Produce,nonveg,28
15.5,boxes,Bakery,nonveg,141
145.2,plates,Packaged Food,nonveg,205
12.1,plates,Bakery,nonveg,13
16.6,boxes,Other,nonveg,142
26.6,boxes,Cooked Meal,veg,207
3.5,kg,Produce,nonveg,5
28.1,liters,Dairy,nonveg,117
43.0,pieces,Dairy,veg,23
24.1,boxes,Cooked Meal,nonveg,151
25.5,liters,Bakery,nonveg,58
36.0,kg,Cooked Meal,veg,94
52.6,plates,Bakery,veg,54
120.9,pieces,Dairy,veg,50
214.1,pieces,Dairy,nonveg,83
11.7,boxes,Produce,veg,69
181.1,pieces,Dairy,veg,64
109.6,plates,Produce,veg,103
26.4,plates,Other,nonveg,23
29.1,liters,Other,veg,71
49.7,pieces,Packaged Food,nonveg,42
25.6,liters,Other,nonveg,53
26.4,kg,Other,veg,60
160.0,pieces,Dairy,nonveg,71
204.4,pieces,Dairy,nonveg,100
61.7,pieces,Other,nonveg,28
212.9,pieces,Bakery,nonveg,90
14.9,boxes,Other,nonveg,81
41.0,pieces,Other,nonveg,17
134.9,plates,Other,nonveg,113
89.9,pieces,Bakery,veg,38
46.3,kg,Other,nonveg,95
46.7,liters,Bakery,nonveg,72
37.2,pieces,Other,veg,19
97.5,plates,Cooked Meal,veg,89
17.2,kg,Cooked Meal,nonveg,32
20.9,kg,Bakery,veg,65
22.9,boxes,Packaged Food,veg,269
27.2,kg,Cooked Meal,veg,75
21.5,kg,Other,veg,62
6.4,boxes,Cooked Meal,nonveg,36
7.7,pieces,Other,veg,4
296.8,pieces,Produce,nonveg,80
133.9,plates,Dairy,nonveg,175
17.2,liters,Produce,veg,38
21.8,boxes,Other,nonveg,178
30.4,plates,Produce,veg,31
15.9,boxes,Other,nonveg,135
16.9,liters,Bakery,nonveg,34
19.8,kg,Bakery,nonveg,50
82.2,pieces,Produce,veg,25
33.7,liters,Produce,veg,63
105.1,plates,Other,nonveg,98
186.3,pieces,Other,nonveg,87
13.1,boxes,Bakery,nonveg,128
23.1,boxes,Dairy,veg,194
81.6,plates,Cooked Meal,nonveg,64
4.0,kg,Produce,veg,7
28.9,plates,Dairy,veg,36
20.7,boxes,Dairy,veg,181
14.1,boxes,Dairy,veg,110
17.4,boxes,Dairy,nonveg,120
13.5,kg,Produce,nonveg,23
3.2,liters,Cooked Meal,veg,7
2.6,kg,Cooked Meal,nonveg,6
38.5,liters,Packaged Food,veg,135
137.3,pieces,Packaged Food,nonveg,123
20.8,boxes,Packaged Food,veg,230
57.6,pieces,Other,veg,25
22.1,boxes,Dairy,veg,199
203.7,pieces,Cooked Meal,nonveg,95
24.9,boxes,Dairy,nonveg,207
2.6,liters,Produce,veg,6
8.0,boxes,Other,veg,73
40.5,plates,Packaged Food,veg,65
7.8,boxes,Cooked Meal,nonveg,60
12.5,liters,Cooked Meal,nonveg,31
88.7,plates,Other,nonveg,84
295.8,pieces,Bakery,veg,92
15.7,liters,Dairy,nonveg,73
28.2,liters,Other,nonveg,72
236.8,pieces,Cooked Meal,nonveg,103
59.2,pieces,Bakery,nonveg,24
25.6,boxes,Dairy,veg,217
48.4,kg,Packaged Food,nonveg,184
61.3,plates,Dairy,veg,79
3.7,boxes,Cooked Meal,nonveg,30
14.2,liters,Other,veg,33
24.5,liters,Cooked Meal,veg,46
67.5,pieces,Produce,veg,22
21.2,boxes,Other,veg,201
45.8,liters,Other,nonveg,85
9.9,boxes,Packaged Food,nonveg,102
72.6,plates,Produce,nonveg,71
16.3,liters,Produce,nonveg,25
112.5,plates,Cooked Meal,veg,130
47.8,plates,Dairy,nonveg,58
117.1,pieces,Bakery,veg,50
230.2,pieces,Other,nonveg,93
5.9,boxes,Packaged Food,nonveg,66
31.7,plates,Other,nonveg,27
42.1,kg,Dairy,veg,202
7.7,kg,Cooked Meal,nonveg,19
35.7,liters,Other,veg,102
33.3,kg,Produce,nonveg,62
1.6,kg,Cooked Meal,nonveg,3
40.5,kg,Produce,nonveg,73
26.7,kg,Bakery,veg,81
239.5,pieces,Produce,nonveg,77
140.4,pieces,Cooked Meal,nonveg,65
5.6,kg,Produce,veg,13
2.6,boxes,Packaged Food,nonveg,31
17.4,boxes,Packaged Food,nonveg,193
38.3,plates,Cooked Meal,veg,44
2.4,boxes,Dairy,nonveg,18
57.9,pieces,Cooked Meal,veg,29
114.1,plates,Bakery,veg,135
9.7,boxes,Other,veg,67
60.7,plates,Packaged Food,nonveg,79
25.5,liters,Other,veg,66
17.7,liters,Packaged Food,veg,53
145.5,plates,Dairy,nonveg,160
11.3,boxes,Packaged Food,veg,156
20.7,boxes,Packaged Food,veg,242
215.4,pieces,Dairy,veg,103
117.1,pieces,Cooked Meal,veg,59
36.4,pieces,Packaged Food,nonveg,31
111.2,pieces,Cooked Meal,nonveg,51
17.2,boxes,Bakery,nonveg,168
1.8,boxes,Dairy,veg,16
8.6,pieces,Dairy,nonveg,4
22.0,boxes,Packaged Food,veg,171
104.4,plates,Bakery,veg,108
15.8,liters,Bakery,nonveg,28
93.4,pieces,Packaged Food,nonveg,86
283.5,pieces,Cooked Meal,nonveg,127
6.2,liters,Dairy,nonveg,20
17.3,kg,Produce,nonveg,27
13.5,boxes,Produce,nonveg,74
48.6,plates,Other,veg,41
289.5,pieces,Packaged Food,veg,257
290.5,pieces,Produce,nonveg,82
4.3,boxes,Produce,nonveg,25
34.4,liters,Dairy,veg,99
40.1,liters,Packaged Food,nonveg,101
34.0,kg,Other,nonveg,83
39.7,liters,Produce,nonveg,79
17.9,boxes,Cooked Meal,nonveg,97
23.9,boxes,Other,veg,180
20.9,plates,Produce,veg,21
86.7,plates,Bakery,veg,122
29.0,boxes,Other,nonveg,210
22.8,liters,Produce,veg,46
11.0,boxes,Packaged Food,veg,139
41.7,kg,Packaged Food,veg,147
16.3,liters,Other,nonveg,35
33.8,pieces,Packaged Food,nonveg,32
2.9,boxes,Other,nonveg,25
204.8,pieces,Cooked Meal,veg,108
28.0,liters,Bakery,veg,53
31.9,liters,Packaged Food,nonveg,98
1.8,boxes,Bakery,nonveg,16
1.1,boxes,Dairy,nonveg,9
37.9,liters,Bakery,nonveg,71
58.0,plates,Cooked Meal,veg,56
8.6,boxes,Bakery,veg,94
185.3,pieces,Other,nonveg,76
18.2,kg,Dairy,nonveg,62
203.3,pieces,Other,veg,104
16.0,kg,Produce,veg,34
18.3,boxes,Dairy,nonveg,177
6.4,boxes,Dairy,nonveg,47
25.0,liters,Other,veg,54
42.3,liters,Bakery,nonveg,64
6.7,boxes,Cooked Meal,veg,45
64.3,plates,Packaged Food,nonveg,72
3.4,boxes,Packaged Food,veg,41
2.6,liters,Cooked Meal,nonveg,5
84.7,plates,Packaged Food,nonveg,128
43.8,plates,Cooked Meal,veg,28
27.8,kg,Dairy,nonveg,92
15.6,kg,Packaged Food,veg,62
43.4,kg,Produce,nonveg,80
40.7,liters,Cooked Meal,veg,81
29.1,plates,Other,nonveg,25
40.5,liters,Bakery,veg,70
51.9,plates,Dairy,veg,63
174.0,pieces,Other,nonveg,91
48.2,kg,Other,veg,115
43.5,kg,Packaged Food,nonveg,164
41.6,liters,Bakery,nonveg,90
5.1,boxes,Other,nonveg,33
19.4,boxes,Packaged Food,veg,204
21.1,boxes,Cooked Meal,nonveg,170
261.3,pieces,Packaged Food,veg,237
32.1,kg,Other,nonveg,68
29.1,boxes,Dairy,veg,204
10.4,boxes,Bakery,nonveg,93
119.3,plates,Bakery,nonveg,151
5.9,kg,Other,veg,15
23.4,liters,Cooked Meal,nonveg,41
44.2,liters,Packaged Food,veg,122
13.3,kg,Produce,nonveg,30
20.4,liters,Produce,veg,38
21.4,boxes,Bakery,veg,251
4.8,liters,Cooked Meal,nonveg,9
35.1,kg,Packaged Food,veg,113
14.9,boxes,Cooked Meal,veg,120
19.0,kg,Cooked Meal,nonveg,46
38.9,liters,Produce,nonveg,72
27.0,liters,Other,veg,63
68.8,plates,Cooked Meal,veg,67
25.9,boxes,Bakery,nonveg,199
37.9,kg,Cooked Meal,veg,85
78.1,pieces,Packaged Food,veg,73
28.1,kg,Other,veg,61
11.1,kg,Other,nonveg,23
113.4,plates,Dairy,veg,146
4.3,boxes,Bakery,nonveg,41
81.6,plates,Packaged Food,veg,165
43.2,liters,Produce,nonveg,76
16.8,boxes,Dairy,nonveg,148
1.7,kg,Cooked Meal,veg,5
47.5,kg,Bakery,veg,131
66.4,plates,Other,nonveg,65
14.6,kg,Packaged Food,veg,48
20.1,liters,Bakery,nonveg,42
35.2,kg,Other,nonveg,79
46.3,liters,Cooked Meal,veg,78
10.0,boxes,Cooked Meal,veg,79
35.4,kg,Cooked Meal,veg,71
16.2,boxes,Bakery,nonveg,155
226.2,pieces,Bakery,veg,74
17.4,kg,Produce,veg,30
76.9,plates,Produce,veg,82
152.4,pieces,Dairy,veg,68
12.2,kg,Produce,veg,23
43.1,kg,Dairy,veg,179
6.2,boxes,Produce,veg,44
37.6,plates,Cooked Meal,nonveg,35
173.6,pieces,Produce,veg,66
31.0,plates,Cooked Meal,veg,35
43.4,kg,Packaged Food,nonveg,95
168.2,pieces,Produce,veg,55
141.9,pieces,Dairy,veg,71
22.2,boxes,Dairy,veg,159
2.2,kg,Bakery,nonveg,6
285.5,pieces,Dairy,veg,168
65.5,pieces,Other,veg,33
28.9,boxes,Bakery,nonveg,283
46.1,kg,Produce,veg,91
14.3,boxes,Dairy,nonveg,118
4.7,liters,Dairy,nonveg,15
33.5,kg,Dairy,nonveg,132
10.2,boxes,Produce,nonveg,70
47.2,liters,Produce,veg,107
9.1,liters,Cooked Meal,veg,23
40.6,pieces,Packaged Food,nonveg,33
83.2,pieces,Packaged Food,nonveg,89
40.6,kg,Cooked Meal,veg,95
42.0,kg,Dairy,veg,198
35.8,liters,Produce,veg,80
246.9,pieces,Cooked Meal,nonveg,111
42.9,kg,Bakery,nonveg,102
24.3,boxes,Cooked Meal,veg,184
4.0,kg,Bakery,veg,12
20.9,boxes,Bakery,nonveg,176
46.0,kg,Other,nonveg,145
3.7,boxes,Bakery,veg,44
47.2,kg,Produce,veg,119
1.9,boxes,Packaged Food,nonveg,23
11.3,boxes,Other,veg,98
31.1,liters,Packaged Food,veg,88
25.4,liters,Dairy,nonveg,103
45.5,pieces,Cooked Meal,nonveg,19
96.5,plates,Bakery,veg,124
165.6,pieces,Packaged Food,nonveg,122
119.6,pieces,Packaged Food,nonveg,115
3.9,kg,Bakery,nonveg,12
116.2,plates,Packaged Food,nonveg,212
14.1,liters,Cooked Meal,veg,31
29.2,kg,Other,veg,82
30.0,liters,Bakery,veg,59
212.5,pieces,Other,veg,96
126.3,plates,Bakery,veg,170
30.5,plates,Packaged Food,nonveg,44
26.8,liters,Dairy,veg,108
242.9,pieces,Cooked Meal,veg,117
8.2,kg,Produce,veg,17
42.5,liters,Other,veg,127
10.8,boxes,Produce,veg,58
36.9,liters,Produce,veg,62
213.6,pieces,Packaged Food,veg,228
37.4,plates,Dairy,nonveg,42
57.4,pieces,Produce,veg,17
128.4,plates,Cooked Meal,nonveg,121
138.6,plates,Bakery,nonveg,129
46.9,liters,Dairy,veg,211
54.5,pieces,Bakery,nonveg,23
8.4,pieces,Cooked Meal,nonveg,4
217.5,pieces,Produce,veg,77
22.2,boxes,Cooked Meal,nonveg,203
16.8,boxes,Packaged Food,nonveg,177
5.7,boxes,Cooked Meal,veg,55
13.8,kg,Produce,nonveg,28
9.3,kg,Cooked Meal,nonveg,18
30.1,kg,Dairy,nonveg,126
13.5,boxes,Dairy,veg,110
6.0,liters,Packaged Food,veg,16
35.2,liters,Bakery,nonveg,63
75.1,pieces,Produce,nonveg,17
5.5,boxes,Cooked Meal,nonveg,37
34.0,plates,Produce,nonveg,34
32.3,liters,Cooked Meal,veg,81
143.9,pieces,Cooked Meal,nonveg,65
194.4,pieces,Other,veg,89
136.5,pieces,Packaged Food,veg,147
8.6,boxes,Produce,nonveg,60
33.7,kg,Bakery,veg,88
17.1,boxes,Dairy,veg,172
88.0,plates,Packaged Food,nonveg,99
3.3,boxes,Bakery,nonveg,35
22.4,plates,Dairy,veg,26
48.6,liters,Packaged Food,veg,149
10.9,kg,Packaged Food,nonveg,33
16.7,liters,Other,nonveg,37
17.0,boxes,Cooked Meal,nonveg,98
138.0,plates,Produce,nonveg,151
21.3,plates,Dairy,nonveg,26
46.3,liters,Bakery,veg,88
132.3,plates,Produce,nonveg,119
17.6,boxes,Produce,nonveg,105
2.9,liters,Packaged Food,nonveg,8
37.5,liters,Produce,veg,92
96.7,pieces,Cooked Meal,nonveg,39
7.6,kg,Packaged Food,veg,30
183.5,pieces,Produce,nonveg,50
11.4,liters,Cooked Meal,nonveg,25
157.0,pieces,Dairy,veg,65
35.8,kg,Bakery,nonveg,82
30.2,plates,Dairy,veg,44
2.6,kg,Bakery,veg,9
247.9,pieces,Bakery,nonveg,94
20.8,boxes,Dairy,veg,189
29.8,liters,Packaged Food,nonveg,94
252.1,pieces,Produce,veg,75
119.0,pieces,Cooked Meal,veg,73
129.3,plates,Bakery,veg,138
26.1,boxes,Produce,veg,156
45.7,kg,Other,nonveg,95
30.8,liters,Cooked Meal,nonveg,54
269.2,pieces,Produce,nonveg,80
20.6,boxes,Bakery,nonveg,169
1.2,boxes,Dairy,veg,14
48.3,plates,Produce,nonveg,44
10.8,boxes,Cooked Meal,veg,85
60.6,pieces,Produce,nonveg,18
40.5,liters,Dairy,veg,171
217.8,pieces,Other,veg,92
8.5,boxes,Other,nonveg,56
54.8,plates,Cooked Meal,veg,58
45.4,liters,Other,nonveg,97
47.6,plates,Bakery,veg,50
36.5,liters,Packaged Food,nonveg,76
70.6,pieces,Other,veg,32
237.5,pieces,Bakery,nonveg,83
14.6,boxes,Produce,veg,111
73.5,plates,Other,veg,75
13.0,boxes,Other,nonveg,101
17.8,liters,Bakery,veg,45
43.3,liters,Packaged Food,nonveg,117
17.3,kg,Bakery,nonveg,53
